date,site,team,households_visited,notes
2025-10-02,Ward A,Team 3,47,Health education session + referrals
2025-10-04,Ward D,Team 3,30,Follow-up visit; updated household register
2025-10-05,Ward B,Team 1,10,Health education session + referrals
2025-10-06,Ward A,Team 3,14,Routine outreach and referrals
2025-10-06,Ward D,Team 2,49,Community mobilization and screening
2025-10-06,Ward A,Team 2,57,Health education session + referrals
2025-10-10,Ward D,Team 1,23,Follow-up visit; updated household register
2025-10-12,Ward B,Team 3,53,Follow-up visit; updated household register
2025-10-15,Ward C,Team 2,31,Health education session + referrals
2025-10-15,Ward A,Team 2,40,Health education session + referrals
2025-10-15,Ward B,Team 1,21,Community mobilization and screening
2025-10-16,Ward A,Team 2,37,Routine outreach and referrals
2025-10-18,Ward C,Team 1,41,Follow-up visit; updated household register
2025-10-18,Ward C,Team 1,42,Health education session + referrals
2025-10-18,Ward B,Team 3,33,Community mobilization and screening
2025-10-25,Ward C,Team 2,30,Follow-up visit; updated household register
2025-10-25,Ward A,Team 3,11,Community mobilization and screening
2025-10-26,Ward B,Team 1,34,Health education session + referrals
2025-10-26,Ward A,Team 1,10,Follow-up visit; updated household register
2025-11-02,Ward B,Team 2,43,Health education session + referrals
2025-11-02,Ward D,Team 1,24,Follow-up visit; updated household register
2025-11-04,Ward D,Team 2,14,Health education session + referrals
2025-11-04,Ward C,Team 3,54,Routine outreach and referrals
2025-11-05,Ward C,Team 2,46,Follow-up visit; updated household register
2025-11-05,Ward B,Team 2,32,Follow-up visit; updated household register
2025-11-06,Ward D,Team 1,54,Community mobilization and screening
2025-11-08,Ward B,Team 3,19,Routine outreach and referrals
2025-11-13,Ward A,Team 1,54,Follow-up visit; updated household register
2025-11-15,Ward D,Team 3,33,Community mobilization and screening
2025-11-15,Ward B,Team 3,13,Health education session + referrals
2025-11-17,Ward D,Team 1,17,Health education session + referrals
2025-11-20,Ward B,Team 2,52,Routine outreach and referrals
2025-11-20,Ward A,Team 2,57,Health education session + referrals
2025-11-21,Ward A,Team 1,28,Community mobilization and screening
2025-11-25,Ward B,Team 3,10,Routine outreach and referrals
2025-11-26,Ward D,Team 3,42,Community mobilization and screening
2025-11-30,Ward A,Team 2,52,Routine outreach and referrals
2025-11-30,Ward A,Team 2,25,Routine outreach and referrals
2025-11-30,Ward A,Team 3,51,Follow-up visit; updated household register
2025-12-05,Ward C,Team 2,20,Routine outreach and referrals
2025-12-05,Ward B,Team 1,18,Health education session + referrals
2025-12-08,Ward C,Team 2,16,Community mobilization and screening
2025-12-09,Ward D,Team 3,49,Community mobilization and screening
2025-12-12,Ward B,Team 3,33,Community mobilization and screening
2025-12-16,Ward B,Team 1,44,Follow-up visit; updated household register
2025-12-17,Ward C,Team 2,43,Community mobilization and screening
2025-12-19,Ward B,Team 2,26,Community mobilization and screening
2025-12-19,Ward C,Team 3,52,Routine outreach and referrals
2025-12-20,Ward D,Team 1,20,Health education session + referrals
2025-12-21,Ward C,Team 2,28,Community mobilization and screening
2025-12-22,Ward B,Team 1,18,Routine outreach and referrals
2025-12-22,Ward B,Team 3,18,Follow-up visit; updated household register
2025-12-24,Ward D,Team 1,20,Community mobilization and screening
2025-12-26,Ward D,Team 1,39,Health education session + referrals
2025-12-26,Ward A,Team 2,44,Routine outreach and referrals
2025-12-26,Ward D,Team 3,41,Health education session + referrals
2025-12-27,Ward D,Team 2,23,Routine outreach and referrals
2025-12-27,Ward B,Team 1,35,Community mobilization and screening
2025-12-29,Ward C,Team 1,31,Health education session + referrals
2025-12-29,Ward C,Team 1,28,Health education session + referrals
2025-12-31,Ward D,Team 1,60,Health education session + referrals
